"Word","Length","Freq_HAL","Log_Freq_HAL"
"main","4","74094","11.21"
"make","4","520909","13.16"
"male","4","58587","10.98"
"Mali","4","457","6.12"
"mall","4","7767","8.96"
"malt","4","1882","7.54"
"mama","4","3617","8.19"
"mane","4","512","6.24"
"live","4","128442","11.76"
"load","4","40668","10.61"
"loaf","4","1223","7.11"
"loam","4","91","4.51"
"loan","4","9525","9.16"
"lobe","4","464","6.14"
"loci","4","286","5.66"
"lock","4","18221","9.81"
"loco","4","776","6.65"
"lode","4","599","6.40"
"loft","4","749","6.62"
"logs","4","4093","8.32"
"loin","4","555","6.32"
"Lois","4","3030","8.02"
"loll","4","31","3.43"
"lone","4","6448","8.77"
"long","4","273917","12.52"
"look","4","253524","12.44"
"loom","4","643","6.47"
"loon","4","880","6.78"
"loop","4","16305","9.70"
"loot","4","999","6.91"
"lope","4","80","4.38"
"lord","4","38009","10.55"
"lore","4","3849","8.26"
"lose","4","38347","10.55"
"loss","4","30002","10.31"
"lost","4","78090","11.27"
"lots","4","70143","11.16"
"loud","4","11931","9.39"
"love","4","165830","12.02"
"lows","4","1019","6.93"
"luck","4","60629","11.01"
"Lucy","4","3448","8.15"
"luge","4","39","3.66"
"Luke","4","11795","9.38"
"lull","4","477","6.17"
"lump","4","2579","7.86"
"legs","4","26451","10.18"
"lend","4","2983","8.00"
"lens","4","9343","9.14"
"lent","4","1321","7.19"
"Leon","4","4505","8.41"
"less","4","158428","11.97"
"lest","4","2928","7.98"
"lets","4","23648","10.07"
"levy","4","2155","7.68"
"lewd","4","1745","7.46"
"liar","4","6138","8.72"
"lice","4","396","5.98"
"lick","4","4418","8.39"
"lids","4","486","6.19"
"lied","4","4456","8.40"
"lien","4","760","6.63"
"lies","4","20384","9.92"
"lieu","4","1941","7.57"
"life","4","219561","12.30"
"lift","4","9806","9.19"
"like","4","1060831","13.87"
"lilt","4","68","4.22"
"lily","4","2643","7.88"
"Lima","4","2029","7.62"
"limb","4","2127","7.66"
"lime","4","2086","7.64"
"limp","4","1596","7.38"
"line","4","239804","12.39"
"link","4","39054","10.57"
"lint","4","1004","6.91"
"lion","4","7671","8.95"
"lips","4","14796","9.60"
"lira","4","435","6.08"
"Lisa","4","13730","9.53"
"lisp","4","9350","9.14"
"list","4","317096","12.67"
"lack","4","41016","10.62"
"lacy","4","759","6.63"
"lads","4","598","6.39"
"lady","4","25980","10.17"
"lags","4","379","5.94"
"laid","4","9979","9.21"
"lain","4","1380","7.23"
"lair","4","1488","7.31"
"lake","4","21614","9.98"
"Lama","4","1472","7.29"
"lamb","4","3444","8.14"
"lame","4","7593","8.93"
"lamp","4","6657","8.80"
"land","4","75075","11.23"
"lane","4","14139","9.56"
"lank","4","30","3.40"
"Laos","4","1572","7.36"
"laps","4","1959","7.58"
"lard","4","602","6.40"
"lark","4","659","6.49"
"lash","4","649","6.48"
"lass","4","725","6.59"
"last","4","291284","12.58"
"late","4","55030","10.92"
"lath","4","61","4.11"
"laud","4","182","5.20"
"lava","4","2757","7.92"
"lawn","4","2663","7.89"
"laws","4","49010","10.80"
"lays","4","1371","7.22"
"laze","4","38","3.64"
"lazy","4","6326","8.75"
"lead","4","48779","10.80"
"leaf","4","7051","8.86"
"leak","4","5143","8.55"
"lean","4","4547","8.42"
"leap","4","6090","8.71"
"leek","4","201","5.30"
"leer","4","973","6.88"
"left","4","132017","11.79"
"joys","4","1001","6.91"
"Juan","4","5780","8.66"
"Jude","4","1018","6.93"
"judo","4","1259","7.14"
"Judy","4","4770","8.47"
"juke","4","189","5.24"
"July","4","23456","10.06"
"jump","4","26855","10.20"
"June","4","28477","10.26"
"junk","4","12375","9.42"
"Juno","4","449","6.11"
"jury","4","7008","8.85"
"just","4","1020539","13.84"
"Kant","4","1458","7.28"
"kale","4","795","6.68"
"Kali","4","2046","7.62"
"Kate","4","6463","8.77"
"keel","4","639","6.46"
"keen","4","3441","8.14"
"keep","4","183906","12.12"
"kegs","4","454","6.12"
"kelp","4","1913","7.56"
"keno","4","210","5.35"
"Kent","4","7865","8.97"
"kept","4","38548","10.56"
"keys","4","32828","10.40"
"khan","4","4477","8.41"
"kick","4","19877","9.90"
"kids","4","49811","10.82"
"kill","4","70815","11.17"
"kiln","4","192","5.26"
"kilo","4","566","6.34"
"kilt","4","428","6.06"
"kind","4","131849","11.79"
"king","4","52583","10.87"
"kink","4","706","6.56"
"Kirk","4","9112","9.12"
"kiss","4","12848","9.46"
"kite","4","2346","7.76"
"kits","4","7216","8.88"
"kiwi","4","1394","7.24"
"knee","4","7176","8.88"
"knew","4","56518","10.94"
"knit","4","1112","7.01"
"knob","4","2049","7.63"
"knot","4","2001","7.60"
"know","4","800100","13.59"
"Kurt","4","10349","9.24"
"lace","4","3285","8.10"
"Isis","4","1398","7.24"
"isle","4","2369","7.77"
"itch","4","758","6.63"
"it'd","4","4698","8.45"
"item","4","35168","10.47"
"it's","4","665860","13.41"
"I've","4","339236","12.73"
"jabs","4","326","5.79"
"Jack","4","31462","10.36"
"jade","4","7028","8.86"
"jail","4","9659","9.18"
"Jake","4","6277","8.74"
"jams","4","1465","7.29"
"Jane","4","10115","9.22"
"jars","4","1186","7.08"
"Java","4","9284","9.14"
"jaws","4","1546","7.34"
"jazz","4","13759","9.53"
"jeep","4","2639","7.88"
"jeer","4","69","4.23"
"Jeff","4","41843","10.64"
"Jena","4","197","5.28"
"jerk","4","4772","8.47"
"jest","4","2158","7.68"
"jets","4","3232","8.08"
"Jews","4","25158","10.13"
"jilt","4","0","0.00"
"jinx","4","491","6.20"
"jive","4","691","6.54"
"jobs","4","42367","10.65"
"jock","4","947","6.85"
"Joel","4","14485","9.58"
"Joey","4","3282","8.10"
"jogs","4","66","4.19"
"John","4","181799","12.11"
"join","4","43729","10.69"
"joke","4","20262","9.92"
"jolt","4","817","6.71"
"Jose","4","21237","9.96"
"josh","4","5867","8.68"
"joss","4","126","4.84"
"jowl","4","12","2.48"
"into","4","563310","13.24"
"ions","4","1201","7.09"
"iota","4","713","6.57"
"Iowa","4","11455","9.35"
"Iran","4","8076","9.00"
"Iraq","4","4464","8.40"
"iris","4","4494","8.41"
"iron","4","19187","9.86"
"inks","4","593","6.39"
"inky","4","136","4.91"
"inns","4","572","6.35"
"info","4","159678","11.98"
"hump","4","767","6.64"
"Inca","4","718","6.58"
"inch","4","16319","9.70"
"hung","4","8535","9.05"
"hunk","4","936","6.84"
"hunt","4","15346","9.64"
"hurl","4","516","6.25"
"hurt","4","28018","10.24"
"hush","4","517","6.25"
"husk","4","267","5.59"
"huts","4","387","5.96"
"Hyde","4","2068","7.63"
"hymn","4","2288","7.74"
"iamb","4","10","2.30"
"ibex","4","31","3.43"
"ibis","4","224","5.41"
"iced","4","565","6.34"
"icon","4","14402","9.58"
"idea","4","133710","11.80"
"idly","4","432","6.07"
"idle","4","5772","8.66"
"idol","4","1920","7.56"
"Igor","4","2170","7.68"
"I'll","4","159272","11.98"
"ills","4","881","6.78"
"hold","4","71050","11.17"
"hole","4","25790","10.16"
"holy","4","27262","10.21"
"home","4","190434","12.16"
"hone","4","315","5.75"
"honk","4","432","6.07"
"hood","4","7563","8.93"
"hoof","4","429","6.06"
"hook","4","11610","9.36"
"hoop","4","1279","7.15"
"hoot","4","963","6.87"
"hope","4","150675","11.92"
"hops","4","1980","7.59"
"horn","4","9173","9.12"
"hose","4","3874","8.26"
"host","4","35396","10.47"
"hour","4","46820","10.75"
"howl","4","3225","8.08"
"hubs","4","2687","7.90"
"hues","4","241","5.48"
"Huey","4","805","6.69"
"huff","4","665","6.50"
"huge","4","38161","10.55"
"Hugh","4","5867","8.68"
"hula","4","247","5.51"
"hulk","4","4506","8.41"
"hull","4","5090","8.54"
"heck","4","12963","9.47"
"he'd","4","15631","9.66"
"heed","4","1057","6.96"
"heel","4","4377","8.38"
"heir","4","1401","7.24"
"held","4","58944","10.98"
"hell","4","62006","11.03"
"helm","4","4959","8.51"
"help","4","335483","12.72"
"herb","4","4078","8.31"
"hemp","4","6011","8.70"
"hens","4","370","5.91"
"herd","4","2303","7.74"
"here","4","477382","13.08"
"hero","4","15998","9.68"
"hers","4","3436","8.14"
"he's","4","87223","11.38"
"hick","4","431","6.07"
"hide","4","14077","9.55"
"high","4","185510","12.13"
"hike","4","2398","7.78"
"hill","4","31346","10.35"
"hilt","4","710","6.57"
"hind","4","12917","9.47"
"hint","4","10531","9.26"
"hips","4","6726","8.81"
"hire","4","11829","9.38"
"hiss","4","1134","7.03"
"hits","4","15857","9.67"
"hive","4","3722","8.22"
"hoar","4","405","6.00"
"hoax","4","2246","7.72"
"hobo","4","178","5.18"
"hock","4","561","6.33"
"hoes","4","155","5.04"
"hogs","4","704","6.56"
"hang","4","17803","9.79"
"Hank","4","3296","8.10"
"hard","4","176370","12.08"
"hare","4","1946","7.57"
"hark","4","651","6.48"
"harm","4","12379","9.42"
"harp","4","1667","7.42"
"hash","4","3628","8.20"
"hast","4","766","6.64"
"hate","4","44130","10.69"
"hath","4","2087","7.64"
"hats","4","2559","7.85"
"haul","4","1934","7.57"
"have","4","3003873","14.92"
"hawk","4","3597","8.19"
"haze","4","937","6.84"
"hazy","4","735","6.60"
"head","4","109089","11.60"
"heal","4","4319","8.37"
"heap","4","4315","8.37"
"hear","4","90309","11.41"
"heat","4","28372","10.25"
"grow","4","24803","10.12"
"grub","4","184","5.21"
"Guam","4","788","6.67"
"gulf","4","6445","8.77"
"gull","4","281","5.64"
"gulp","4","679","6.52"
"gums","4","517","6.25"
"gunk","4","423","6.05"
"guns","4","24000","10.09"
"guru","4","7060","8.86"
"gush","4","443","6.09"
"gust","4","298","5.70"
"guts","4","3719","8.22"
"guys","4","58720","10.98"
"Gwen","4","830","6.72"
"gyms","4","288","5.66"
"gyro","4","460","6.13"
"haha","4","974","6.88"
"hack","4","9825","9.19"
"hail","4","3226","8.08"
"hair","4","42603","10.66"
"hale","4","1882","7.54"
"half","4","71926","11.18"
"hall","4","33443","10.42"
"halo","4","935","6.84"
"halt","4","4028","8.30"
"hams","4","1175","7.07"
"hand","4","124848","11.73"
"gods","4","11535","9.35"
"goes","4","89621","11.40"
"gogo","4","263","5.57"
"gold","4","53067","10.88"
"golf","4","10448","9.25"
"gone","4","51800","10.86"
"gong","4","1010","6.92"
"good","4","628816","13.35"
"goof","4","716","6.57"
"goon","4","633","6.45"
"gore","4","5182","8.55"
"gory","4","745","6.61"
"gosh","4","3146","8.05"
"Goth","4","2046","7.62"
"gout","4","283","5.65"
"gown","4","1301","7.17"
"grab","4","10230","9.23"
"grad","4","6390","8.76"
"gram","4","1638","7.40"
"gray","4","12665","9.45"
"Greg","4","24705","10.11"
"grew","4","10672","9.28"
"grey","4","12685","9.45"
"grid","4","5377","8.59"
"grim","4","1846","7.52"
"grin","4","8803","9.08"
"grip","4","7900","8.97"
"grit","4","1077","6.98"
"gems","4","2144","7.67"
"gene","4","25570","10.15"
"gent","4","625","6.44"
"germ","4","645","6.47"
"gets","4","86927","11.37"
"gibe","4","27","3.30"
"gift","4","11722","9.37"
"gild","4","77","4.34"
"gill","4","1748","7.47"
"gilt","4","374","5.92"
"gins","4","22","3.09"
"gird","4","146","4.98"
"girl","4","40340","10.61"
"gist","4","1041","6.95"
"give","4","230878","12.35"
"glad","4","25586","10.15"
"glee","4","633","6.45"
"glen","4","6171","8.73"
"glib","4","343","5.84"
"glow","4","2584","7.86"
"glue","4","5283","8.57"
"glum","4","69","4.23"
"glut","4","623","6.43"
"gnat","4","1244","7.13"
"gnaw","4","157","5.06"
"goad","4","188","5.24"
"goal","4","26030","10.17"
"goat","4","2562","7.85"
"gobs","4","660","6.49"
"fuel","4","16552","9.71"
"Fuji","4","1380","7.23"
"full","4","155605","11.96"
"fume","4","222","5.40"
"fund","4","17735","9.78"
"funk","4","2551","7.84"
"furl","4","4","1.39"
"furs","4","334","5.81"
"fury","4","3864","8.26"
"fuse","4","2292","7.74"
"fuss","4","1986","7.59"
"fuzz","4","726","6.59"
"gaff","4","398","5.99"
"gaga","4","95","4.55"
"gage","4","689","6.54"
"gags","4","633","6.45"
"gain","4","23905","10.08"
"gait","4","655","6.48"
"gala","4","769","6.65"
"gale","4","924","6.83"
"gall","4","1258","7.14"
"gals","4","1518","7.33"
"game","4","197271","12.19"
"gang","4","7821","8.96"
"gape","4","153","5.03"
"gaps","4","2498","7.82"
"garb","4","487","6.19"
"Gary","4","27188","10.21"
"gash","4","260","5.56"
"gasp","4","2664","7.89"
"gate","4","16638","9.72"
"gaud","4","7","1.95"
"Gaul","4","387","5.96"
"gave","4","52246","10.86"
"gawk","4","408","6.01"
"gaze","4","2488","7.82"
"gear","4","15326","9.64"
"fork","4","11253","9.33"
"form","4","118268","11.68"
"fort","4","8420","9.04"
"foul","4","4072","8.31"
"four","4","85200","11.35"
"fowl","4","417","6.03"
"foxy","4","272","5.61"
"Fran","4","1883","7.54"
"fray","4","815","6.70"
"Fred","4","15428","9.64"
"free","4","244067","12.41"
"fret","4","1920","7.56"
"frog","4","3126","8.05"
"from","4","1894943","14.45"
"flew","4","4963","8.51"
"flex","4","2762","7.92"
"flip","4","5994","8.70"
"flit","4","155","5.04"
"floe","4","489","6.19"
"flog","4","276","5.62"
"flop","4","1545","7.34"
"flow","4","21063","9.96"
"flue","4","130","4.87"
"flux","4","5580","8.63"
"foal","4","263","5.57"
"foam","4","3659","8.20"
"foci","4","174","5.16"
"foes","4","914","6.82"
"foil","4","5405","8.60"
"fold","4","4906","8.50"
"folk","4","11992","9.39"
"fond","4","4113","8.32"
"font","4","19610","9.88"
"food","4","59724","11.00"
"fool","4","13690","9.52"
"foot","4","24212","10.09"
"ford","4","16671","9.72"
"fore","4","1702","7.44"
"Fiat","4","1069","6.97"
"fief","4","61","4.11"
"fife","4","543","6.30"
"figs","4","807","6.69"
"Fiji","4","442","6.09"
"file","4","311710","12.65"
"fill","4","26443","10.18"
"film","4","52691","10.87"
"find","4","378725","12.84"
"fine","4","111801","11.62"
"fink","4","819","6.71"
"Finn","4","1272","7.15"
"fins","4","1646","7.41"
"fire","4","62707","11.05"
"firm","4","34530","10.45"
"fish","4","30614","10.33"
"fist","4","6036","8.71"
"fits","4","10268","9.24"
"five","4","62706","11.05"
"fizz","4","147","4.99"
"flag","4","15311","9.64"
"flak","4","861","6.76"
"flan","4","141","4.95"
"flap","4","1408","7.25"
"flat","4","26256","10.18"
"flaw","4","3798","8.24"
"flax","4","342","5.83"
"flay","4","59","4.08"
"flea","4","3443","8.14"
"fled","4","2250","7.72"
"flee","4","1506","7.32"
"fade","4","3505","8.16"
"fads","4","260","5.56"
"fail","4","18678","9.84"
"fain","4","264","5.58"
"fair","4","45321","10.72"
"fake","4","7853","8.97"
"fall","4","46059","10.74"
"fame","4","6089","8.71"
"fang","4","917","6.82"
"fans","4","31621","10.36"
"fare","4","5309","8.58"
"farm","4","10864","9.29"
"fart","4","1320","7.19"
"fast","4","77003","11.25"
"fate","4","8495","9.05"
"fats","4","1149","7.05"
"faun","4","45","3.81"
"fawn","4","388","5.96"
"faze","4","100","4.61"
"fear","4","34537","10.45"
"feat","4","1607","7.38"
"feds","4","2802","7.94"
"feed","4","20084","9.91"
"feel","4","162048","12.00"
"fees","4","18502","9.83"
"feet","4","40143","10.60"
"fell","4","16827","9.73"
"felt","4","50231","10.82"
"fend","4","1791","7.49"
"fern","4","569","6.34"
"feud","4","818","6.71"
"exit","4","25629","10.15"
"expo","4","2322","7.75"
"eyes","4","58027","10.97"
"eyed","4","1219","7.11"
"Ezra","4","573","6.35"
"face","4","77706","11.26"
"fact","4","184510","12.13"
"errs","4","270","5.60"
"espy","4","390","5.97"
"etch","4","398","5.99"
"even","4","490549","13.10"
"ever","4","173858","12.07"
"evil","4","43736","10.69"
"exam","4","4218","8.35"
"ends","4","27525","10.22"
"envy","4","2556","7.85"
"epic","4","5310","8.58"
"Eric","4","39370","10.58"
"Eros","4","723","6.58"
"elks","4","92","4.52"
"elms","4","136","4.91"
"else","4","176434","12.08"
"emir","4","175","5.16"
"emit","4","1140","7.04"
"Emma","4","1984","7.59"
"duke","4","12035","9.40"
"dull","4","4644","8.44"
"duly","4","1030","6.94"
"dumb","4","12449","9.43"
"dump","4","10072","9.22"
"dune","4","2291","7.74"
"dung","4","1175","7.07"
"dunk","4","1068","6.97"
"dupe","4","387","5.96"
"dusk","4","795","6.68"
"dust","4","18645","9.83"
"duty","4","14997","9.62"
"dyed","4","482","6.18"
"each","4","303525","12.62"
"earl","4","6000","8.70"
"earn","4","11987","9.39"
"ears","4","12268","9.41"
"ease","4","9671","9.18"
"east","4","49098","10.80"
"easy","4","93775","11.45"
"eats","4","3464","8.15"
"ebbs","4","167","5.12"
"echo","4","29638","10.30"
"ecru","4","49","3.89"
"eddy","4","1800","7.50"
"Eden","4","3114","8.04"
"edge","4","37877","10.54"
"edgy","4","212","5.36"
"edit","4","20183","9.91"
"eggs","4","8214","9.01"
"eked","4","17","2.83"
"done","4","173968","12.07"
"doom","4","33765","10.43"
"door","4","53813","10.89"
"dope","4","1900","7.55"
"dorm","4","1650","7.41"
"dose","4","5092","8.54"
"dots","4","2767","7.93"
"Doug","4","19444","9.88"
"dour","4","106","4.66"
"dove","4","2713","7.91"
"down","4","293731","12.59"
"doze","4","277","5.62"
"drab","4","342","5.83"
"drag","4","11908","9.38"
"dram","4","7095","8.87"
"drat","4","173","5.15"
"draw","4","26592","10.19"
"drew","4","9787","9.19"
"drip","4","1348","7.21"
"drop","4","47322","10.76"
"drug","4","37439","10.53"
"drum","4","8300","9.02"
"dual","4","13358","9.50"
"duck","4","6829","8.83"
"duct","4","1101","7.00"
"dude","4","6892","8.84"
"duds","4","227","5.42"
"duel","4","1681","7.43"
"duet","4","992","6.90"
"diva","4","872","6.77"
"dive","4","8177","9.01"
"dock","4","2543","7.84"
"dodo","4","303","5.71"
"doer","4","147","4.99"
"does","4","525612","13.17"
"doff","4","42","3.74"
"dogs","4","32637","10.39"
"dole","4","6478","8.78"
"doll","4","5685","8.65"
"dolt","4","359","5.88"
"dome","4","2233","7.71"
"dime","4","2557","7.85"
"dine","4","570","6.35"
"dips","4","674","6.51"
"dire","4","4069","8.31"
"dirt","4","7642","8.94"
"disc","4","16844","9.73"
"dish","4","7237","8.89"
"disk","4","108080","11.59"
"desk","4","13624","9.52"
"dewy","4","73","4.29"
"dial","4","12970","9.47"
"diam","4","1053","6.96"
"dibs","4","333","5.81"
"dice","4","14894","9.61"
"died","4","28767","10.27"
"dies","4","8972","9.10"
"diet","4","12432","9.43"
"digs","4","687","6.53"
"dike","4","181","5.20"
"dill","4","491","6.20"
"dell","4","6060","8.71"
"demo","4","24690","10.11"
"dens","4","115","4.74"
"dent","4","2465","7.81"
"deny","4","13082","9.48"
"darn","4","4516","8.42"
"dart","4","1653","7.41"
"dash","4","3424","8.14"
"data","4","203945","12.23"
"date","4","136274","11.82"
"daub","4","88","4.48"
"Dave","4","61964","11.03"
"dawn","4","8283","9.02"
"days","4","158630","11.97"
"daze","4","598","6.39"
"dead","4","72864","11.20"
"deaf","4","6119","8.72"
"deal","4","83766","11.34"
"dean","4","14488","9.58"
"dear","4","29554","10.29"
"debt","4","14192","9.56"
"deck","4","28755","10.27"
"deed","4","1981","7.59"
"deem","4","1103","7.01"
"deep","4","42695","10.66"
"deer","4","4911","8.50"
"deft","4","199","5.29"
"defy","4","1119","7.02"
"crux","4","845","6.74"
"Cuba","4","6767","8.82"
"cube","4","5028","8.52"
"cubs","4","1350","7.21"
"cues","4","1192","7.08"
"cuff","4","835","6.73"
"cull","4","345","5.84"
"cult","4","10847","9.29"
"cups","4","5726","8.65"
"curb","4","2042","7.62"
"curd","4","148","5.00"
"cure","4","8515","9.05"
"curl","4","1236","7.12"
"curt","4","2743","7.92"
"cusp","4","154","5.04"
"cuss","4","293","5.68"
"cute","4","11008","9.31"
"cuts","4","12607","9.44"
"cyst","4","306","5.72"
"czar","4","451","6.11"
"daft","4","558","6.32"
"dale","4","9905","9.20"
"Dali","4","683","6.53"
"dame","4","2947","7.99"
"damn","4","30471","10.32"
"damp","4","1712","7.45"
"dams","4","612","6.42"
"Dana","4","5549","8.62"
"Dane","4","1172","7.07"
"dank","4","594","6.39"
"dare","4","8885","9.09"
"dark","4","71249","11.17"
"cove","4","1145","7.04"
"cowl","4","334","5.81"
"cows","4","3717","8.22"
"cozy","4","726","6.59"
"crab","4","980","6.89"
"crag","4","135","4.91"
"cram","4","1273","7.15"
"crap","4","21328","9.97"
"crew","4","15253","9.63"
"crib","4","1280","7.15"
"crop","4","4786","8.47"
"crow","4","4667","8.45"
"cook","4","13551","9.51"
"cool","4","49548","10.81"
"coop","4","851","6.75"
"cope","4","3789","8.24"
"cops","4","7057","8.86"
"copy","4","126341","11.75"
"cord","4","4635","8.44"
"core","4","19755","9.89"
"cork","4","1394","7.24"
"corn","4","4988","8.51"
"corp","4","21190","9.96"
"cost","4","99509","11.51"
"cosy","4","260","5.56"
"coup","4","2299","7.74"
"conk","4","57","4.04"
"cons","4","4237","8.35"
"cone","4","3540","8.17"
"coil","4","3384","8.13"
"coin","4","6375","8.76"
"Coke","4","4270","8.36"
"cola","4","1736","7.46"
"cold","4","34854","10.46"
"cole","4","3944","8.28"
"colt","4","1935","7.57"
"coma","4","1240","7.12"
"comb","4","1614","7.39"
"come","4","232041","12.35"
"claw","4","2194","7.69"
"clay","4","10797","9.29"
"clef","4","161","5.08"
"clip","4","7281","8.89"
"clod","4","192","5.26"
"clog","4","836","6.73"
"clop","4","28","3.33"
"clot","4","271","5.60"
"club","4","63264","11.06"
"clue","4","17913","9.79"
"coal","4","4838","8.48"
"coat","4","10295","9.24"
"coax","4","2086","7.64"
"coca","4","1591","7.37"
"cock","4","23323","10.06"
"coda","4","559","6.33"
"code","4","148173","11.91"
"coed","4","321","5.77"
"cogs","4","449","6.11"
"chin","4","4747","8.47"
"chip","4","35544","10.48"
"chit","4","205","5.32"
"chop","4","2331","7.75"
"chow","4","3329","8.11"
"chug","4","253","5.53"
"chum","4","301","5.71"
"ciao","4","2174","7.68"
"cite","4","6151","8.72"
"city","4","102007","11.53"
"clad","4","876","6.78"
"clam","4","768","6.64"
"clan","4","4149","8.33"
"clap","4","932","6.84"
"cede","4","233","5.45"
"cell","4","16077","9.69"
"Celt","4","153","5.03"
"cent","4","6305","8.75"
"Chad","4","4884","8.49"
"chap","4","1620","7.39"
"char","4","19943","9.90"
"chat","4","11998","9.39"
"chef","4","1418","7.26"
"chew","4","2861","7.96"
"chic","4","532","6.28"
"cape","4","5458","8.60"
"caps","4","6565","8.79"
"card","4","222822","12.31"
"care","4","104469","11.56"
"Carl","4","15571","9.65"
"carp","4","652","6.48"
"cars","4","31247","10.35"
"cart","4","5925","8.69"
"case","4","199506","12.20"
"cash","4","39508","10.58"
"cask","4","248","5.51"
"cast","4","24385","10.10"
"cats","4","17763","9.78"
"cave","4","7507","8.92"
"burp","4","466","6.14"
"burr","4","942","6.85"
"Burt","4","1634","7.40"
"bury","4","2411","7.79"
"bush","4","10889","9.30"
"bust","4","3078","8.03"
"busy","4","19614","9.88"
"butt","4","10344","9.24"
"buys","4","4089","8.32"
"buzz","4","3746","8.23"
"cabs","4","577","6.36"
"cafe","4","4444","8.40"
"cage","4","8498","9.05"
"Cain","4","2114","7.66"
"cake","4","6250","8.74"
"calf","4","1478","7.30"
"call","4","241962","12.40"
"calm","4","6300","8.75"
"came","4","115002","11.65"
"camp","4","15938","9.68"
"cams","4","475","6.16"
"cane","4","5405","8.60"
"cans","4","2756","7.92"
"brig","4","744","6.61"
"brim","4","395","5.98"
"brow","4","804","6.69"
"buck","4","6798","8.82"
"buds","4","1257","7.14"
"buff","4","1700","7.44"
"bugs","4","18337","9.82"
"bulb","4","3246","8.09"
"bulk","4","7028","8.86"
"bull","4","8305","9.02"
"bump","4","2682","7.89"
"bums","4","771","6.65"
"bunk","4","1071","6.98"
"buns","4","1014","6.92"
"bunt","4","186","5.23"
"buoy","4","164","5.10"
"burg","4","344","5.84"
"burn","4","12496","9.43"
"bony","4","247","5.51"
"boob","4","496","6.21"
"book","4","190905","12.16"
"boom","4","4284","8.36"
"boon","4","2284","7.73"
"boor","4","162","5.09"
"boos","4","187","5.23"
"boot","4","43868","10.69"
"bore","4","3598","8.19"
"born","4","35181","10.47"
"boss","4","10002","9.21"
"both","4","296623","12.60"
"bout","4","5608","8.63"
"bowl","4","10720","9.28"
"bows","4","1206","7.10"
"boxy","4","122","4.80"
"boys","4","23926","10.08"
"Brad","4","12450","9.43"
"brae","4","124","4.82"
"brag","4","1165","7.06"
"bran","4","594","6.39"
"brat","4","1080","6.98"
"bray","4","761","6.63"
"bred","4","3086","8.03"
"brew","4","2988","8.00"
"Brie","4","133","4.89"
"blah","4","12804","9.46"
"bled","4","530","6.27"
"blew","4","5337","8.58"
"blip","4","323","5.78"
"blob","4","1170","7.06"
"blot","4","529","6.27"
"blow","4","16920","9.74"
"blue","4","89005","11.40"
"blur","4","1628","7.40"
"boar","4","414","6.03"
"boat","4","15857","9.67"
"bock","4","941","6.85"
"bode","4","601","6.40"
"body","4","116235","11.66"
"bogy","4","9","2.20"
"boil","4","3837","8.25"
"bold","4","5486","8.61"
"boll","4","139","4.93"
"bolo","4","1702","7.44"
"bolt","4","7295","8.89"
"bomb","4","15377","9.64"
"bond","4","12955","9.47"
"bone","4","16063","9.68"
"bong","4","1335","7.20"
"bell","4","24815","10.12"
"belt","4","10820","9.29"
"bend","4","6891","8.84"
"bent","4","8475","9.04"
"berg","4","1871","7.53"
"Bern","4","765","6.64"
"Bert","4","2389","7.78"
"best","4","269708","12.51"
"beta","4","50393","10.83"
"Beth","4","5137","8.54"
"bets","4","3245","8.08"
"bias","4","9171","9.12"
"bide","4","244","5.50"
"bids","4","53928","10.90"
"bike","4","22527","10.02"
"bile","4","1616","7.39"
"bilk","4","108","4.68"
"bill","4","116919","11.67"
"bind","4","6800","8.82"
"bing","4","657","6.49"
"bins","4","716","6.57"
"bird","4","19070","9.86"
"bite","4","8162","9.01"
"bits","4","23833","10.08"
"blab","4","109","4.69"
"bans","4","1179","7.07"
"barb","4","1355","7.21"
"bard","4","1202","7.09"
"bare","4","8494","9.05"
"bark","4","2441","7.80"
"barn","4","2575","7.85"
"bars","4","9206","9.13"
"base","4","59143","10.99"
"bash","4","4672","8.45"
"bask","4","256","5.55"
"bass","4","17075","9.75"
"bast","4","427","6.06"
"bate","4","182","5.20"
"bath","4","5621","8.63"
"bats","4","3884","8.26"
"bawl","4","66","4.19"
"bays","4","1167","7.06"
"bead","4","1824","7.51"
"beak","4","582","6.37"
"beam","4","7878","8.97"
"bean","4","3575","8.18"
"bear","4","23529","10.07"
"beat","4","33104","10.41"
"beau","4","1014","6.92"
"beck","4","2083","7.64"
"beds","4","2424","7.79"
"beef","4","5285","8.57"
"been","4","735347","13.51"
"beep","4","2303","7.74"
"beer","4","24708","10.11"
"bees","4","5073","8.53"
"beet","4","420","6.04"
"begs","4","1175","7.07"
"auto","4","15581","9.65"
"avid","4","2419","7.79"
"avow","4","15","2.71"
"away","4","150815","11.92"
"awed","4","264","5.58"
"awry","4","431","6.07"
"axes","4","1689","7.43"
"axis","4","4865","8.49"
"axle","4","1741","7.46"
"ayes","4","81","4.39"
"babe","4","3163","8.06"
"baby","4","35810","10.49"
"Bach","4","3284","8.10"
"back","4","393090","12.88"
"bade","4","135","4.91"
"bags","4","5805","8.67"
"bail","4","2583","7.86"
"bait","4","4289","8.36"
"bake","4","2528","7.84"
"bald","4","2764","7.92"
"bale","4","557","6.32"
"Bali","4","592","6.38"
"balk","4","286","5.66"
"ball","4","38502","10.56"
"balm","4","1511","7.32"
"band","4","49179","10.80"
"bane","4","957","6.86"
"bang","4","6789","8.82"
